deadband_starts_dec,kinetic_coeffs_dec,deadband_starts_inc,kinetic_coeffs_inc,deadband_ends_dec,static_coeffs_dec,deadband_ends_inc,static_coeffs_inc
3667.0,120.0,12505.0,-120.0,5231.0,-180.0,14188.0,200.0
21343.0,120.0,30240.0,-120.0,22725.0,-120.0,31804.0,160.0
39138.0,120.0,47916.0,-140.0,40761.0,-180.0,67214.0,140.0
56873.0,120.0,65771.0,-120.0,76352.0,-200.0,85190.0,200.0
74609.0,120.0,83446.0,-140.0,94027.0,-180.0,102985.0,200.0
92344.0,120.0,101242.0,-120.0,129558.0,-180.0,138456.0,200.0
110079.0,140.0,118917.0,-140.0,147173.0,-160.0,155951.0,140.0
127875.0,120.0,136652.0,-140.0,165029.0,-180.0,173927.0,180.0
145670.0,120.0,154568.0,-100.0,,,,
163346.0,120.0,172243.0,-120.0,,,,
