deadband_starts_dec,kinetic_coeffs_dec,deadband_starts_inc,kinetic_coeffs_inc,deadband_ends_dec,static_coeffs_dec,deadband_ends_inc,static_coeffs_inc
33668.0,176.0,120364.0,-184.0,56755.0,-250.0,144713.0,266.0
206699.0,194.0,293996.0,-192.0,229004.0,-218.0,320389.0,296.0
380451.0,198.0,466366.0,-220.0,402936.0,-216.0,493420.0,280.0
553963.0,206.0,642703.0,-178.0,577410.0,-226.0,670479.0,336.0
729399.0,180.0,815854.0,-194.0,752365.0,-244.0,844532.0,336.0
903451.0,178.0,989366.0,-202.0,929424.0,-302.0,1016180.0,294.0
1076302.0,200.0,1164381.0,-182.0,1103597.0,-304.0,1191556.0,320.0
1250776.0,192.0,1338916.0,-174.0,1274885.0,-254.0,1362784.0,268.0
1425010.0,188.0,1511526.0,-200.0,1448878.0,-252.0,1536837.0,268.0
1599123.0,188.0,1686421.0,-184.0,1622811.0,-250.0,1709327.0,240.0
