deadband_starts_dec,kinetic_coeffs_dec,deadband_starts_inc,kinetic_coeffs_inc,deadband_ends_dec,static_coeffs_dec,deadband_ends_inc,static_coeffs_inc
35171.0,148.0,122048.0,-154.0,56394.0,-244.0,140986.0,196.0
208923.0,152.0,296101.0,-154.0,229785.0,-232.0,315760.0,210.0
383036.0,152.0,470755.0,-140.0,402936.0,-216.0,488911.0,196.0
556909.0,152.0,643785.0,-158.0,578372.0,-244.0,662784.0,194.0
730060.0,168.0,817778.0,-158.0,751944.0,-238.0,836596.0,190.0
904955.0,150.0,991531.0,-160.0,925396.0,-228.0,1012513.0,228.0
1078887.0,152.0,1166365.0,-146.0,1099990.0,-238.0,1184341.0,186.0
1252880.0,154.0,1340178.0,-150.0,1273021.0,-218.0,1361281.0,240.0
1426753.0,156.0,1514051.0,-154.0,1446473.0,-208.0,1531366.0,166.0
1600386.0,164.0,1688165.0,-152.0,1621909.0,-234.0,1706862.0,194.0
