deadband_starts_dec,kinetic_coeffs_dec,deadband_starts_inc,kinetic_coeffs_inc,deadband_ends_dec,static_coeffs_dec,deadband_ends_inc,static_coeffs_inc
9860.0,161.0,35112.0,-147.0,14910.0,-168.0,41003.0,238.0
59521.0,175.0,85193.0,-133.0,65894.0,-238.0,90784.0,231.0
109602.0,168.0,134794.0,-154.0,114893.0,-175.0,140926.0,245.0
159504.0,168.0,184875.0,-140.0,165997.0,-252.0,190887.0,252.0
209585.0,154.0,234536.0,-154.0,215297.0,-217.0,240368.0,224.0
259186.0,168.0,284437.0,-154.0,265619.0,-245.0,290148.0,217.0
309387.0,147.0,334458.0,-140.0,315460.0,-245.0,340170.0,231.0
359168.0,154.0,384360.0,-140.0,365661.0,-266.0,390251.0,238.0
408589.0,182.0,434140.0,-147.0,414300.0,-182.0,440153.0,238.0
458670.0,168.0,483861.0,-161.0,463901.0,-168.0,490174.0,252.0
