deadband_starts_dec,kinetic_coeffs_dec,deadband_starts_inc,kinetic_coeffs_inc,deadband_ends_dec,static_coeffs_dec,deadband_ends_inc,static_coeffs_inc
23026.0,162.0,81345.0,-153.0,152229.0,-207.0,210006.0,201.0
139303.0,150.0,197321.0,-150.0,267964.0,-204.0,325080.0,180.0
254978.0,156.0,313116.0,-153.0,384421.0,-222.0,441597.0,201.0
371194.0,144.0,429152.0,-147.0,499494.0,-201.0,557332.0,198.0
486508.0,159.0,544947.0,-147.0,615290.0,-198.0,674030.0,219.0
602845.0,147.0,660983.0,-144.0,731927.0,-219.0,789885.0,219.0
718580.0,150.0,776658.0,-147.0,847782.0,-219.0,905260.0,204.0
834195.0,156.0,892334.0,-153.0,963698.0,-219.0,1021596.0,219.0
949930.0,162.0,1008009.0,-156.0,1079734.0,-225.0,1136670.0,198.0
1066026.0,153.0,1123684.0,-162.0,,,,
