deadband_starts_dec,kinetic_coeffs_dec,deadband_starts_inc,kinetic_coeffs_inc,deadband_ends_dec,static_coeffs_dec,deadband_ends_inc,static_coeffs_inc
8717.0,144.0,30602.0,-152.0,13948.0,-240.0,35832.0,232.0
52486.0,152.0,74250.0,-160.0,57476.0,-216.0,79481.0,224.0
96255.0,152.0,118319.0,-144.0,100523.0,-168.0,122588.0,176.0
140083.0,152.0,162148.0,-144.0,145314.0,-232.0,167319.0,240.0
183972.0,144.0,206037.0,-136.0,188121.0,-160.0,210967.0,224.0
227621.0,160.0,249505.0,-168.0,232972.0,-240.0,254916.0,232.0
271510.0,152.0,293635.0,-144.0,276500.0,-216.0,298685.0,232.0
315339.0,152.0,337464.0,-144.0,320449.0,-224.0,341913.0,184.0
358987.0,168.0,381172.0,-152.0,364278.0,-224.0,386583.0,248.0
402876.0,168.0,425302.0,-136.0,408227.0,-232.0,430111.0,224.0
