deadband_starts_dec,kinetic_coeffs_dec,deadband_starts_inc,kinetic_coeffs_inc,deadband_ends_dec,static_coeffs_dec,deadband_ends_inc,static_coeffs_inc
14129.0,145.0,48940.0,-150.0,22185.0,-230.0,57357.0,240.0
83450.0,165.0,118320.0,-170.0,91806.0,-220.0,128000.0,275.0
153011.0,180.0,188002.0,-175.0,161187.0,-200.0,266881.0,245.0
223052.0,165.0,258164.0,-155.0,230986.0,-200.0,198101.0,290.0
292794.0,165.0,328025.0,-155.0,301632.0,-240.0,336863.0,250.0
362295.0,180.0,397166.0,-185.0,372094.0,-270.0,476647.0,260.0
432397.0,165.0,467448.0,-165.0,440271.0,-195.0,407500.0,294.0
502018.0,180.0,537009.0,-180.0,510856.0,-230.0,547170.0,290.0
572481.0,150.0,606811.0,-180.0,580657.0,-230.0,615588.0,225.0
641862.0,170.0,677514.0,-140.0,651240.0,-260.0,684789.0,195.0
