,deadband_starts,deadband_ends
0,10341.0,15271.0
1,35412.0,39981.0
2,60303.0,65232.0
3,85253.0,89943.0
4,110264.0,115013.0
5,135214.0,140024.0
6,160165.0,164794.0
7,184995.0,189805.0
8,209946.0,214755.0
9,234957.0,239646.0
10,259727.0,264597.0
11,284798.0,289547.0
12,309748.0,314438.0
13,334579.0,339448.0
14,359589.0,364339.0
15,384480.0,389410.0
16,409430.0,414240.0
17,434441.0,439251.0
18,459331.0,463901.0
19,484102.0,489032.0
