deadband_starts,deadband_ends
2885.0,4148.0
9980.0,11302.0
17194.0,18396.0
24228.0,25550.0
31382.0,32765.0
38476.0,39859.0
45630.0,46773.0
52785.0,54107.0
60059.0,75570.0
67093.0,82724.0
74307.0,89878.0
81342.0,96732.0
88556.0,104127.0
95650.0,111281.0
102804.0,118195.0
109898.0,125590.0
117053.0,132744.0
124207.0,139898.0
131361.0,
138515.0,
