,deadband_starts,deadband_ends
0,11964.0,17735.0
1,41122.0,46713.0
2,70160.0,75931.0
3,99017.0,104969.0
4,128115.0,133826.0
5,157093.0,163045.0
6,186311.0,192022.0
7,215048.0,220940.0
8,244327.0,249797.0
9,273244.0,278896.0
10,302282.0,308054.0
11,331140.0,336971.0
12,360298.0,366189.0
13,389276.0,394987.0
14,418313.0,424205.0
15,447231.0,453063.0
16,476389.0,482221.0
17,505427.0,511319.0
18,534345.0,540357.0
19,563323.0,569334.0
