deadband_starts,deadband_ends
22485.0,34990.0
80684.0,93249.0
138461.0,152349.0
196599.0,211570.0
254256.0,268745.0
312876.0,327365.0
369631.0,383699.0
429092.0,446226.0
485546.0,499555.0
544647.0,561060.0
601522.0,614508.0
660442.0,675292.0
717859.0,731987.0
774915.0,791568.0
833413.0,846039.0
892033.0,907184.0
949029.0,963879.0
1006566.0,1024362.0
1064283.0,1079013.0
1123624.0,1138534.0
