,deadband_starts,deadband_ends
0,2285.0,3487.0
1,8297.0,9319.0
2,14068.0,15090.0
3,19960.0,21042.0
4,25731.0,38296.0
5,31563.0,44368.0
6,37395.0,50020.0
7,43166.0,56032.0
8,49058.0,61563.0
9,55010.0,67514.0
10,60781.0,73466.0
11,66613.0,90841.0
12,72444.0,96793.0
13,78216.0,102745.0
14,84107.0,108516.0
15,89939.0,114468.0
16,95711.0,
17,101662.0,
18,107554.0,
19,113326.0,
