deadband_starts,deadband_ends
68476.0,116752.0
242464.0,284307.0
414586.0,460577.0
573183.0,728652.0
638412.0,805846.0
936728.0,977789.0
1109753.0,1153940.0
1282839.0,1324020.0
1456344.0,1505342.0
1629010.0,1669710.0
1789710.0,1846402.0
1975962.0,2021412.0
2148446.0,2191611.0
2323336.0,2363796.0
2496842.0,2541029.0
2669808.0,2709667.0
2842712.0,2891529.0
3016760.0,3060527.0
3190206.0,3236918.0
3361789.0,3407479.0
