Time,Rear Wheel Input,Rear Wheel Ticks,Rear Wheel Speed
15164,-50,-6310,84.93
15224,-50,-6089,84.93
15284,-50,-5869,84.93
15344,-50,-5648,84.93
15404,-50,-5428,82.64
15464,-50,-5207,84.93
15524,-50,-4987,84.93
15584,-50,-4766,84.93
15645,-50,-4546,82.64
15705,-50,-4325,82.64
15765,-50,-4104,84.93
15825,-50,-3883,84.93
15885,-50,-3662,84.93
15945,-50,-3441,84.93
16005,-50,-3220,87.23
16065,-50,-3000,84.93
16126,-50,-2779,84.93
16186,-50,-2558,84.93
16246,-50,-2337,84.93
16306,-50,-2116,84.93
16366,-50,-1896,82.64
16426,-50,-1675,84.93
16486,-50,-1455,82.64
16546,-50,-1234,84.93
16606,-50,-1013,82.64
16667,-50,-792,84.93
16727,-50,-572,84.93
16787,-50,-352,82.64
16847,-50,-131,84.93
16907,-50,90,84.93
16967,-50,311,84.93
17027,-50,531,84.93
17087,-50,752,84.93
17147,-50,973,84.93
17208,-50,1194,84.93
17268,-50,1415,84.93
17328,-50,1635,82.64
17388,-50,1857,84.93
17448,-50,2077,82.64
17508,-50,2298,84.93
17568,-50,2518,84.93
17628,-50,2739,82.64
17688,-50,2960,84.93
17749,-50,3181,84.93
17809,-50,3401,84.93
17869,-50,3622,84.93
17929,-50,3843,84.93
17989,-50,4064,84.93
18049,-50,4284,84.93
18109,-50,4504,82.64
18169,-50,4725,82.64
18229,-50,4946,84.93
18290,-50,5167,84.93
18350,-50,5387,82.64
18410,-50,5608,84.93
18470,-50,5829,84.93
18530,-50,6049,84.93
18590,-50,6269,82.64
18650,-50,6490,84.93
18710,-50,6711,84.93
18770,-50,6931,82.64
18831,-50,7152,84.93
18891,-50,7372,82.64
18951,50,7480,-41.32
19011,50,7282,-82.64
19071,50,7060,-84.93
19131,50,6837,-87.23
19191,50,6614,-84.93
19251,50,6391,-84.93
19312,50,6167,-87.23
19372,50,5945,-84.93
19432,50,5721,-87.23
19492,50,5498,-84.93
19552,50,5274,-84.93
19612,50,5050,-87.23
19672,50,4827,-84.93
19732,50,4603,-84.93
19792,50,4380,-84.93
19853,50,4156,-84.93
19913,50,3932,-84.93
19973,50,3708,-87.23
20033,50,3484,-84.93
20093,50,3260,-84.93
20153,50,3036,-84.93
20213,50,2813,-84.93
20273,50,2589,-84.93
20333,50,2365,-87.23
20394,50,2142,-84.93
20454,50,1918,-84.93
20514,50,1694,-84.93
20574,50,1470,-87.23
20634,50,1247,-82.64
20694,50,1022,-87.23
20754,50,799,-84.93
20814,50,575,-84.93
20874,50,351,-84.93
20935,50,127,-87.23
20995,50,-96,-84.93
21055,50,-320,-84.93
21115,50,-544,-84.93
21175,50,-768,-84.93
21235,50,-992,-87.23
21295,50,-1216,-87.23
21355,50,-1439,-84.93
21415,50,-1663,-84.93
21476,50,-1887,-84.93
21536,50,-2111,-87.23
21596,50,-2335,-84.93
21656,50,-2560,-84.93
21716,50,-2784,-84.93
21776,50,-3008,-84.93
21836,50,-3232,-84.93
21896,50,-3456,-84.93
21956,50,-3680,-87.23
22017,50,-3903,-84.93
22077,50,-4127,-84.93
22137,50,-4352,-84.93
22197,50,-4576,-84.93
22257,50,-4800,-84.93
22317,50,-5024,-84.93
22377,50,-5248,-84.93
22437,50,-5472,-84.93
22498,50,-5697,-87.23
22558,50,-5920,-84.93
22618,50,-6144,-84.93
22678,50,-6369,-87.23
22738,50,-6593,-84.93
22798,50,-6817,-84.93
22858,50,-7041,-84.93
22918,50,-7265,-87.23
22978,50,-7488,-84.93
23039,50,-7712,-84.93
23099,50,-7937,-87.23
23159,50,-8160,-84.93
23219,50,-8385,-84.93
23279,50,-8609,-84.93
23339,50,-8833,-84.93
23399,50,-9056,-84.93
23459,50,-9280,-87.23
23519,50,-9503,-87.23
23580,50,-9727,-87.23
23640,50,-9951,-87.23
23700,50,-10175,-87.23
23760,50,-10399,-84.93
23820,50,-10624,-84.93
23880,50,-10848,-87.23
23940,-50,-11056,-48.20
24000,-50,-10912,78.05
24060,-50,-10696,84.93
24121,-50,-10476,82.64
24181,-50,-10256,82.64
24241,-50,-10035,84.93
24301,-50,-9814,84.93
24361,-50,-9594,84.93
24421,-50,-9373,82.64
24481,-50,-9152,84.93
24541,-50,-8931,84.93
24601,-50,-8710,84.93
24662,-50,-8489,84.93
24722,-50,-8268,84.93
24782,-50,-8048,84.93
24842,-50,-7826,84.93
24902,-50,-7605,84.93
24962,-50,-7384,84.93
25022,-50,-7163,84.93
25082,-50,-6941,84.93
25142,-50,-6720,82.64
25203,-50,-6499,82.64
25263,-50,-6277,84.93
25323,-50,-6056,84.93
25383,-50,-5835,82.64
25443,-50,-5613,87.23
25503,-50,-5393,82.64
25563,-50,-5171,84.93
25623,-50,-4949,84.93
25684,-50,-4727,84.93
25744,-50,-4506,84.93
25804,-50,-4284,84.93
25864,-50,-4063,82.64
25924,-50,-3841,84.93
25984,-50,-3620,84.93
26044,-50,-3399,84.93
26104,-50,-3177,84.93
26164,-50,-2955,87.23
26225,-50,-2734,84.93
26285,-50,-2512,84.93
26345,-50,-2291,84.93
26405,-50,-2069,84.93
26465,-50,-1848,82.64
26525,-50,-1626,84.93
26585,-50,-1405,84.93
26645,-50,-1183,84.93
26705,-50,-961,82.64
26766,-50,-739,84.93
26826,-50,-517,84.93
26886,-50,-296,84.93
26946,-50,-74,84.93
27006,-50,148,84.93
27066,-50,369,84.93
27126,-50,590,84.93
27186,-50,812,84.93
27246,-50,1033,84.93
27307,-50,1254,84.93
27367,-50,1476,84.93
27427,-50,1697,84.93
27487,-50,1919,84.93
27547,-50,2140,84.93
27607,-50,2361,84.93
27667,-50,2583,87.23
27727,-50,2804,84.93
27787,-50,3025,82.64
27848,-50,3247,84.93
27908,-50,3468,82.64
27968,-50,3691,87.23
28028,-50,3912,84.93
28088,-50,4133,84.93
28148,-50,4354,84.93
28208,-50,4576,87.23
28268,-50,4797,84.93
28328,-50,5018,84.93
28389,-50,5240,84.93
28449,-50,5461,84.93
28509,-50,5682,84.93
28569,-50,5903,82.64
28629,-50,6125,84.93
28689,-50,6346,84.93
28749,-50,6567,84.93
28809,-50,6789,84.93
28870,-50,7010,84.93
28930,-50,7231,84.93
28990,50,7208,-71.16
29050,50,6993,-87.23
29110,50,6771,-84.93
29170,50,6547,-84.93
29230,50,6323,-87.23
29290,50,6100,-84.93
29350,50,5877,-84.93
29411,50,5653,-84.93
29471,50,5429,-84.93
29531,50,5205,-84.93
29591,50,4981,-84.93
29651,50,4757,-87.23
29711,50,4533,-87.23
29771,50,4309,-87.23
29831,50,4085,-87.23
29891,50,3861,-87.23
29952,50,3637,-84.93
30012,50,3412,-84.93
30072,50,3188,-84.93
30132,50,2964,-84.93
30192,50,2739,-87.23
30252,50,2515,-87.23
30312,50,2291,-84.93
30372,50,2067,-84.93
30432,50,1843,-84.93
30493,50,1619,-84.93
30553,50,1394,-84.93
30613,50,1169,-87.23
30673,50,945,-87.23
30733,50,721,-84.93
30793,50,496,-87.23
30853,50,272,-84.93
30913,50,48,-84.93
30973,50,-177,-87.23
31034,50,-401,-84.93
31094,50,-626,-84.93
31154,50,-851,-87.23
31214,50,-1075,-87.23
31274,50,-1300,-87.23
31334,50,-1524,-84.93
31394,50,-1749,-87.23
31454,50,-1972,-84.93
31514,50,-2197,-84.93
31575,50,-2422,-84.93
31635,50,-2647,-87.23
31695,50,-2871,-84.93
31755,50,-3096,-87.23
31815,50,-3320,-84.93
31875,50,-3544,-84.93
31935,50,-3769,-87.23
31995,50,-3992,-84.93
32055,50,-4217,-84.93
32116,50,-4442,-84.93
32176,50,-4667,-87.23
32236,50,-4891,-87.23
32296,50,-5115,-84.93
32356,50,-5340,-87.23
32416,50,-5564,-84.93
32476,50,-5788,-84.93
32536,50,-6013,-87.23
32597,50,-6237,-84.93
32657,50,-6462,-84.93
32717,50,-6687,-87.23
32777,50,-6911,-87.23
32837,50,-7135,-84.93
32897,50,-7360,-87.23
32957,50,-7584,-84.93
33017,50,-7808,-84.93
33077,50,-8033,-84.93
33138,50,-8258,-87.23
33198,50,-8483,-87.23
33258,50,-8707,-87.23
33318,50,-8932,-87.23
33378,50,-9156,-84.93
33438,50,-9380,-84.93
33498,50,-9605,-87.23
