Time,Rear Wheel Input,Rear Wheel Ticks,Rear Wheel Speed
300439,150,54105,-243.32
300499,150,53467,-243.32
300559,150,52828,-245.61
300620,150,52189,-245.61
300680,150,51551,-245.61
300740,150,50913,-245.61
300800,150,50276,-241.02
300860,150,49638,-243.32
300920,150,49000,-243.32
300980,150,48362,-243.32
301040,150,47724,-245.61
301101,150,47087,-243.32
301161,150,46449,-243.32
301221,150,45811,-243.32
301281,150,45173,-245.61
301341,150,44535,-243.32
301401,150,43898,-243.32
301461,150,43261,-243.32
301521,150,42624,-243.32
301581,150,41987,-245.61
301642,150,41351,-243.32
301702,150,40714,-243.32
301762,150,40077,-245.61
301822,150,39440,-243.32
301882,150,38803,-243.32
301942,150,38167,-243.32
302002,150,37529,-245.61
302062,150,36892,-243.32
302122,150,36256,-241.02
302183,150,35619,-243.32
302243,150,34981,-245.61
302303,150,34344,-245.61
302363,150,33707,-243.32
302423,150,33069,-243.32
302483,150,32432,-243.32
302543,150,31795,-243.32
302603,150,31159,-241.02
302663,150,30522,-243.32
302724,150,29885,-243.32
302784,150,29248,-243.32
302844,150,28611,-243.32
302904,150,27975,-243.32
302964,150,27337,-245.61
303024,150,26700,-243.32
303084,150,26064,-243.32
303144,150,25427,-243.32
303204,150,24789,-245.61
303265,150,24153,-243.32
303325,150,23516,-243.32
303385,150,22879,-243.32
303445,150,22242,-243.32
303505,150,21605,-243.32
303565,150,20968,-243.32
303625,150,20332,-243.32
303685,150,19695,-243.32
303746,150,19057,-243.32
303806,150,18419,-245.61
303866,150,17781,-245.61
303926,150,17144,-243.32
303986,150,16505,-245.61
304046,150,15868,-245.61
304106,150,15231,-243.32
304166,150,14592,-245.61
304226,150,13955,-243.32
304287,150,13316,-245.61
304347,150,12679,-243.32
304407,150,12040,-245.61
304467,-150,11695,98.70
304527,-150,12236,238.73
304587,-150,12884,250.20
304647,-150,13543,252.50
304707,-150,14204,254.79
304767,-150,14864,254.79
304828,-150,15524,252.50
304888,-150,16185,252.50
304948,-150,16846,252.50
305008,-150,17507,254.79
305068,-150,18168,254.79
305128,-150,18828,250.20
305188,-150,19489,252.50
305248,-150,20149,252.50
305308,-150,20811,254.79
305369,-150,21471,252.50
305429,-150,22131,252.50
305489,-150,22792,250.20
305549,-150,23453,252.50
305609,-150,24113,252.50
305669,-150,24774,252.50
305729,-150,25435,254.79
305789,-150,26095,252.50
305849,-150,26756,252.50
305910,-150,27417,252.50
305970,-150,28078,252.50
306030,-150,28739,254.79
306090,-150,29399,252.50
306150,-150,30061,252.50
306210,-150,30721,252.50
306270,-150,31382,252.50
306330,-150,32044,254.79
306391,-150,32705,252.50
306451,-150,33365,252.50
306511,-150,34027,254.79
306571,-150,34688,252.50
306631,-150,35349,252.50
306691,-150,36010,252.50
306751,-150,36671,252.50
306811,-150,37333,252.50
306871,-150,37994,252.50
306932,-150,38655,252.50
306992,-150,39317,252.50
307052,-150,39980,254.79
307112,-150,40640,252.50
307172,-150,41302,252.50
307232,-150,41964,252.50
307292,-150,42625,252.50
307352,-150,43287,252.50
307412,-150,43949,252.50
307473,-150,44611,252.50
307533,-150,45273,252.50
307593,-150,45934,252.50
307653,-150,46596,252.50
307713,-150,47258,252.50
307773,-150,47920,254.79
307833,-150,48581,252.50
307893,-150,49244,254.79
307953,-150,49905,252.50
308014,-150,50566,252.50
308074,-150,51228,252.50
308134,-150,51891,254.79
308194,-150,52552,254.79
308254,-150,53213,252.50
308314,-150,53876,254.79
308374,-150,54537,254.79
308434,-150,55198,252.50
308494,-150,55860,252.50
308555,-150,56521,252.50
308615,-150,57182,252.50
308675,-150,57843,252.50
308735,-150,58504,252.50
308795,-150,59165,252.50
308855,-150,59826,252.50
308915,-150,60487,252.50
308975,-150,61149,252.50
309036,-150,61810,252.50
309096,-150,62471,252.50
309156,-150,63133,252.50
309216,-150,63794,252.50
309276,-150,64455,252.50
309336,-150,65116,250.20
309396,-150,65778,252.50
309456,150,66401,165.27
309516,150,66041,-218.07
309577,150,65423,-243.32
309637,150,64787,-243.32
309697,150,64147,-243.32
309757,150,63508,-243.32
309817,150,62868,-245.61
309877,150,62228,-245.61
309937,150,61589,-245.61
309997,150,60949,-245.61
310057,150,60309,-245.61
310118,150,59669,-245.61
310178,150,59030,-245.61
310238,150,58391,-243.32
310298,150,57751,-245.61
310358,150,57111,-245.61
310418,150,56472,-243.32
310478,150,55832,-245.61
310538,150,55192,-245.61
310598,150,54552,-245.61
310659,150,53913,-245.61
310719,150,53273,-245.61
310779,150,52633,-245.61
310839,150,51993,-245.61
310899,150,51354,-243.32
310959,150,50714,-245.61
311019,150,50075,-243.32
311079,150,49436,-245.61
311139,150,48796,-243.32
311200,150,48157,-243.32
311260,150,47518,-243.32
311320,150,46878,-245.61
311380,150,46239,-243.32
311440,150,45600,-245.61
311500,150,44960,-245.61
311560,150,44320,-245.61
311620,150,43681,-245.61
311681,150,43040,-245.61
311741,150,42400,-245.61
311801,150,41761,-245.61
311861,150,41121,-245.61
311921,150,40481,-245.61
311981,150,39842,-243.32
312041,150,39202,-245.61
312101,150,38562,-243.32
312161,150,37923,-243.32
312222,150,37283,-243.32
312282,150,36643,-243.32
312342,150,36004,-243.32
312402,150,35364,-245.61
312462,150,34724,-245.61
312522,150,34085,-243.32
312582,150,33445,-245.61
312642,150,32805,-245.61
312702,150,32166,-245.61
312763,150,31527,-243.32
312823,150,30888,-243.32
312883,150,30248,-245.61
312943,150,29609,-243.32
313003,150,28969,-245.61
313063,150,28329,-245.61
313123,150,27690,-245.61
313183,150,27051,-243.32
313243,150,26412,-243.32
313304,150,25772,-243.32
313364,150,25132,-245.61
313424,150,24493,-245.61
313484,150,23853,-245.61
313544,150,23214,-245.61
313604,150,22575,-243.32
313664,150,21936,-245.61
313724,150,21296,-245.61
313784,150,20657,-245.61
313845,150,20019,-243.32
313905,150,19379,-243.32
313965,150,18739,-243.32
314025,150,18100,-245.61
314085,150,17460,-245.61
314145,150,16820,-243.32
314205,150,16181,-245.61
314265,150,15541,-245.61
314326,150,14902,-243.32
314386,150,14263,-243.32
314446,150,13624,-243.32
314506,-150,13635,188.23
314566,-150,14244,245.61
314626,-150,14901,252.50
314686,-150,15561,252.50
314746,-150,16223,252.50
314806,-150,16884,252.50
314867,-150,17546,252.50
314927,-150,18208,254.79
314987,-150,18869,252.50
315047,-150,19531,252.50
315107,-150,20192,252.50
315167,-150,20853,250.20
315227,-150,21515,254.79
315287,-150,22176,252.50
315347,-150,22837,250.20
315408,-150,23499,252.50
315468,-150,24160,252.50
315528,-150,24821,250.20
315588,-150,25483,254.79
315648,-150,26144,254.79
315708,-150,26805,252.50
315768,-150,27467,254.79
315828,-150,28128,254.79
315888,-150,28789,252.50
315949,-150,29450,252.50
316009,-150,30112,254.79
316069,-150,30773,252.50
316129,-150,31433,252.50
316189,-150,32095,252.50
316249,-150,32756,252.50
316309,-150,33417,252.50
316369,-150,34079,254.79
316429,-150,34740,254.79
316490,-150,35401,254.79
316550,-150,36062,254.79
316610,-150,36723,252.50
316670,-150,37384,252.50
316730,-150,38045,252.50
316790,-150,38706,252.50
316850,-150,39368,254.79
316910,-150,40029,252.50
316971,-150,40690,254.79
317031,-150,41352,254.79
317091,-150,42013,252.50
317151,-150,42674,252.50
317211,-150,43335,252.50
317271,-150,43997,252.50
317331,-150,44659,254.79
317391,-150,45320,252.50
317451,-150,45982,252.50
317512,-150,46643,252.50
317572,-150,47304,252.50
317632,-150,47965,252.50
317692,-150,48626,252.50
317752,-150,49287,252.50
317812,-150,49948,254.79
317872,-150,50609,252.50
317932,-150,51270,252.50
317992,-150,51931,252.50
318053,-150,52592,254.79
318113,-150,53253,252.50
318173,-150,53914,252.50
318233,-150,54575,254.79
318293,-150,55236,252.50
318353,-150,55897,252.50
318413,-150,56558,254.79
318473,-150,57219,252.50
318533,-150,57880,252.50
318594,-150,58541,254.79
318654,-150,59201,252.50
318714,-150,59862,252.50
318774,-150,60523,252.50
318834,-150,61183,252.50
318894,-150,61844,252.50
318954,-150,62505,252.50
319014,-150,63166,252.50
319074,-150,63827,252.50
319135,-150,64488,250.20
319195,-150,65149,252.50
319255,-150,65810,252.50
319315,-150,66472,254.79
319375,-150,67132,252.50
319435,-150,67793,252.50
319495,150,68162,-87.23
319555,150,67636,-231.84
