Time,Front Angle,Rear Angle
509060,-0.12,0.07
509070,-0.09,-0.09
509080,0.12,-0.07
509090,-0.04,-0.04
509100,-0.01,0.18
509110,0.02,-0.16
509120,-0.13,-0.13
509130,-0.28,-0.10
509140,-0.06,-0.06
509150,-0.02,0.16
509160,0.02,0.02
509170,-0.13,-0.13
509180,-0.27,-0.08
509190,-0.04,-0.04
509200,-0.17,0.20
509210,-0.12,0.25
509220,-0.07,0.11
509230,-0.20,-0.01
509240,-0.14,0.04
509250,-0.08,0.10
509260,-0.02,0.17
509270,0.05,0.23
509281,-0.15,0.03
509291,-0.26,-0.08
509301,-0.00,-0.00
509311,-0.29,0.26
509321,-0.03,0.16
509331,-0.13,0.06
509341,-0.22,-0.04
509351,-0.31,0.05
509361,-0.22,0.15
509371,-0.12,0.07
509381,-0.01,0.35
509391,-0.09,0.09
509401,0.02,0.02
509411,-0.23,0.13
509421,0.07,0.07
509431,0.01,0.38
509441,0.32,0.32
509451,0.09,0.09
509461,0.22,0.22
509471,-0.00,0.18
509481,-0.04,0.14
509491,0.11,0.29
509502,0.00,0.19
509512,-0.02,-0.02
509522,-0.04,0.14
509532,-0.24,-0.05
509542,-0.06,-0.06
509552,-0.07,0.12
509562,0.12,0.30
509572,0.31,0.13
509582,-0.05,-0.05
509592,-0.03,-0.03
509602,-0.01,-0.01
509612,0.02,0.02
509622,0.24,0.06
509632,0.46,0.28
509642,0.33,-0.04
509652,0.38,0.01
509662,0.43,-0.12
509672,0.31,0.13
509682,0.57,0.20
509693,0.39,0.21
509703,0.48,0.29
509713,0.38,0.20
509723,0.11,0.11
509733,0.03,0.21
509743,-0.05,0.13
509753,0.06,0.25
509763,0.18,0.37
509773,0.13,0.31
509783,0.44,0.26
509793,0.40,0.22
509803,0.18,0.18
509813,0.34,0.15
509823,0.50,0.13
509833,0.30,0.48
509843,0.47,0.47
509853,0.66,0.47
509863,0.48,0.48
509873,0.49,0.31
509883,0.33,0.51
509893,0.35,0.35
509903,0.21,0.57
509913,0.25,0.61
509923,0.30,0.30
509933,0.35,0.54
509943,0.42,0.60
509953,0.49,0.49
509964,0.34,0.34
509974,0.43,0.24
509984,0.34,0.16
509994,0.44,0.26
510004,0.37,0.19
510014,0.31,0.13
510024,0.25,0.25
510034,0.39,0.39
510044,0.53,0.35
510054,0.50,0.50
510064,0.48,0.29
510074,0.46,0.28
510084,0.45,-0.10
510094,0.27,0.09
510104,0.09,0.09
510114,0.29,-0.26
510124,0.14,-0.23
510134,0.35,0.17
510144,0.40,-0.16
510154,0.26,0.08
510164,0.50,0.14
510174,0.57,0.39
510184,0.83,0.28
510194,0.55,0.36
510204,0.64,0.27
510214,0.56,0.38
510224,0.67,0.30
510234,0.42,0.05
510244,0.36,0.18
510254,0.13,0.13
510265,-0.11,0.26
510275,-0.14,0.04
510285,-0.16,0.02
510295,-0.17,0.19
510305,-0.18,0.19
510315,-0.17,0.01
510325,-0.34,0.03
510335,-0.50,0.05
510345,-0.28,0.08
510355,-0.43,0.31
510365,-0.19,0.36
510375,0.05,0.24
510385,-0.06,0.49
510395,0.01,0.56
510405,0.10,0.65
510415,0.56,0.56
510425,0.48,0.66
510435,0.41,0.59
510445,0.53,0.53
510455,0.85,0.48
510465,0.80,0.44
510475,0.95,0.40
510485,0.93,0.37
510495,0.91,0.36
510505,0.90,0.35
510515,0.90,0.35
510525,0.91,0.36
510535,0.93,0.38
510546,0.96,0.41
510556,1.00,0.45
510566,1.05,0.50
510576,1.10,0.55
510586,1.17,0.62
510596,1.24,0.69
510606,1.32,0.77
510616,1.42,0.87
510626,1.52,0.97
510636,1.63,1.08
510646,1.75,1.19
510656,1.87,1.32
510666,2.01,1.46
510676,2.15,1.60
510686,2.31,1.76
510696,2.47,1.92
510706,2.64,2.09
510716,2.82,2.09
510726,2.83,2.28
510736,3.03,2.48
510746,3.24,2.69
510756,3.45,2.90
510766,3.68,2.94
510776,3.73,3.18
510786,3.97,3.42
510796,4.04,3.48
510806,3.74,3.74
510816,3.83,3.64
510827,3.95,3.58
510837,3.50,3.68
510847,3.24,3.61
510857,3.00,3.55
510867,2.76,3.12
510877,2.34,2.89
510887,2.30,3.04
510897,2.27,2.45
510907,2.06,2.43
510917,1.87,2.60
510927,1.68,2.41
510937,1.50,2.05
510947,1.14,1.87
510957,0.97,1.89
510967,0.63,1.18
510977,0.49,1.04
510987,0.53,0.90
510997,0.40,0.76
511007,0.27,0.64
511017,-0.03,0.52
511027,0.04,0.41
511037,-0.24,0.13
511047,-0.52,-0.15
