kinetic_coeffs_dec,kinetic_coeffs_inc,static_coeffs_dec,static_coeffs_inc
135.0,-120.0,-180.0,180.0
120.0,-135.0,-180.0,195.0
120.0,-135.0,-195.0,180.0
135.0,-135.0,-180.0,195.0
120.0,-135.0,-195.0,135.0
135.0,-135.0,-195.0,180.0
135.0,-120.0,-195.0,195.0
135.0,-135.0,-195.0,120.0
120.0,-120.0,-195.0,195.0
135.0,-105.0,-180.0,195.0
