kinetic_coeffs_dec,kinetic_coeffs_inc,static_coeffs_dec,static_coeffs_inc
150.0,-135.0,-180.0,195.0
165.0,-135.0,-225.0,195.0
135.0,-120.0,-165.0,165.0
135.0,-135.0,-180.0,225.0
120.0,-120.0,-180.0,195.0
120.0,-150.0,-180.0,240.0
150.0,-135.0,-195.0,255.0
135.0,-135.0,-180.0,180.0
150.0,-120.0,-195.0,240.0
150.0,-135.0,-180.0,240.0
