kinetic_coeffs_dec,kinetic_coeffs_inc,static_coeffs_dec,static_coeffs_inc
140.0,-136.0,-192.0,196.0
144.0,-144.0,-200.0,196.0
140.0,-136.0,-196.0,184.0
136.0,-136.0,-192.0,204.0
140.0,-136.0,-196.0,192.0
144.0,-140.0,-196.0,228.0
136.0,-140.0,-192.0,184.0
144.0,-144.0,-200.0,204.0
144.0,-140.0,-208.0,212.0
144.0,-144.0,-220.0,184.0
