,kinetic_coeffs_dec,kinetic_coeffs_inc,static_coeffs_dec,static_coeffs_inc
0,166.0,-161.0,-280.0,224.0
1,175.0,-312.0,-250.0,479.0
2,290.0,-159.0,-235.0,220.0
3,163.0,-166.0,-245.0,213.0
4,167.0,-173.0,-286.0,203.0
5,291.0,-172.0,-233.0,248.0
6,181.0,-167.0,-218.0,207.0
7,167.0,-170.0,-242.0,198.0
8,176.0,-169.0,-275.0,235.0
9,170.0,-186.0,-262.0,236.0
