kinetic_coeffs_dec,kinetic_coeffs_inc,static_coeffs_dec,static_coeffs_inc
177.0,-171.0,-168.0,177.0
174.0,-171.0,-210.0,243.0
177.0,-159.0,-225.0,243.0
189.0,-147.0,-201.0,327.0
186.0,-156.0,-204.0,300.0
183.0,-159.0,-177.0,252.0
168.0,-195.0,-222.0,267.0
180.0,-162.0,-171.0,258.0
186.0,-198.0,-225.0,297.0
201.0,-162.0,-207.0,249.0
