,kinetic_coeffs_dec,kinetic_coeffs_inc,static_coeffs_dec,static_coeffs_inc
0,117.0,-126.0,-180.0,189.0
1,135.0,-135.0,-189.0,180.0
2,126.0,-117.0,-189.0,171.0
3,117.0,-126.0,-189.0,171.0
4,126.0,-126.0,-180.0,180.0
5,117.0,-117.0,-171.0,180.0
6,117.0,-126.0,-180.0,162.0
7,126.0,-126.0,-180.0,180.0
8,117.0,-126.0,-171.0,189.0
9,135.0,-117.0,-180.0,180.0
