kinetic_coeffs_dec,kinetic_coeffs_inc,static_coeffs_dec,static_coeffs_inc
120.0,-120.0,-180.0,180.0
120.0,-120.0,-150.0,180.0
90.0,-120.0,-180.0,180.0
90.0,-120.0,-180.0,180.0
90.0,-120.0,-210.0,180.0
120.0,-120.0,-180.0,180.0
90.0,-120.0,-180.0,180.0
120.0,-120.0,-180.0,120.0
120.0,-120.0,,
120.0,-120.0,,
