,kinetic_coeffs_dec,kinetic_coeffs_inc,static_coeffs_dec,static_coeffs_inc
0,144.0,-152.0,-240.0,232.0
1,152.0,-160.0,-216.0,224.0
2,152.0,-144.0,-168.0,176.0
3,152.0,-144.0,-232.0,240.0
4,144.0,-136.0,-160.0,224.0
5,160.0,-168.0,-240.0,232.0
6,152.0,-144.0,-216.0,232.0
7,152.0,-144.0,-224.0,184.0
8,168.0,-152.0,-224.0,248.0
9,168.0,-136.0,-232.0,224.0
