,kinetic_coeffs_dec,kinetic_coeffs_inc,static_coeffs_dec,static_coeffs_inc
0,144.0,-144.0,-207.0,171.0
1,135.0,-117.0,-153.0,189.0
2,117.0,-144.0,-117.0,243.0
3,162.0,-135.0,-180.0,225.0
4,153.0,-126.0,-252.0,243.0
5,144.0,-126.0,-207.0,162.0
6,144.0,-135.0,-135.0,216.0
7,144.0,-135.0,-171.0,225.0
8,153.0,-153.0,-243.0,225.0
9,135.0,-135.0,-180.0,216.0
