kinetic_coeffs_dec,kinetic_coeffs_inc,static_coeffs_dec,static_coeffs_inc
162.0,-153.0,-207.0,201.0
150.0,-150.0,-204.0,180.0
156.0,-153.0,-222.0,201.0
144.0,-147.0,-201.0,198.0
159.0,-147.0,-198.0,219.0
147.0,-144.0,-219.0,219.0
150.0,-147.0,-219.0,204.0
156.0,-153.0,-219.0,219.0
162.0,-156.0,-225.0,198.0
153.0,-162.0,,
