,kinetic_coeffs_dec,kinetic_coeffs_inc,static_coeffs_dec,static_coeffs_inc
0,100.0,-125.0,-175.0,175.0
1,100.0,-125.0,-175.0,175.0
2,125.0,-125.0,-200.0,200.0
3,125.0,-125.0,-150.0,175.0
4,100.0,-125.0,-200.0,200.0
5,100.0,-125.0,-200.0,125.0
6,100.0,-125.0,-200.0,200.0
7,125.0,-125.0,-125.0,200.0
8,125.0,-125.0,-200.0,200.0
9,125.0,-125.0,,
