,kinetic_coeffs_dec,kinetic_coeffs_inc,static_coeffs_dec,static_coeffs_inc
0,162.0,-156.0,-252.0,270.0
1,174.0,-180.0,-270.0,234.0
2,174.0,-180.0,-180.0,240.0
3,168.0,-144.0,-192.0,174.0
4,162.0,-180.0,-228.0,246.0
5,168.0,-180.0,-240.0,258.0
6,162.0,-168.0,-150.0,156.0
7,156.0,-150.0,-192.0,246.0
8,168.0,-156.0,-264.0,246.0
9,168.0,-156.0,-282.0,210.0
