kinetic_coeffs_dec,kinetic_coeffs_inc,static_coeffs_dec,static_coeffs_inc
176.0,-184.0,-250.0,266.0
194.0,-192.0,-218.0,296.0
198.0,-220.0,-216.0,280.0
206.0,-178.0,-226.0,336.0
180.0,-194.0,-244.0,336.0
178.0,-202.0,-302.0,294.0
200.0,-182.0,-304.0,320.0
192.0,-174.0,-254.0,268.0
188.0,-200.0,-252.0,268.0
188.0,-184.0,-250.0,280.0
240.0,,,
