,kinetic_coeffs_dec,kinetic_coeffs_inc,static_coeffs_dec,static_coeffs_inc
0,145.0,-140.0,-195.0,185.0
1,135.0,-145.0,-190.0,195.0
2,140.0,-145.0,-195.0,190.0
3,145.0,-150.0,-200.0,210.0
4,140.0,-145.0,-240.0,180.0
5,145.0,-140.0,-200.0,200.0
6,145.0,-140.0,-195.0,185.0
7,135.0,-150.0,-200.0,190.0
8,140.0,-135.0,-190.0,205.0
9,145.0,-140.0,-230.0,210.0
